,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,GOOGL,Alphabet Inc.,"1,688.66B",1.67%,12705725,307.39B
1,META,"Meta Platforms, Inc.","1,289.87B",-4.42%,12051143,134.90B
2,NFLX,"Netflix, Inc.",261.74B,-0.64%,1034917,33.72B
3,DIS,The Walt Disney Company,202.36B,1.80%,2559346,88.94B
4,TMUS,"T-Mobile US, Inc.",193.95B,0.47%,1089478,78.56B
5,CMCSA,Comcast Corporation,169.12B,2.25%,5039507,121.57B
6,VZ,Verizon Communications Inc.,166.11B,1.57%,3633291,133.97B
7,T,AT&T Inc.,123.03B,0.76%,9830080,122.43B
8,RELX,RELX PLC,81.30B,-1.30%,379245,11.60B
9,NTES,"NetEase, Inc.",69.77B,1.49%,451062,14.59B
10,AMX,"América Móvil, SAB de CV",59.23B,-0.78%,179652,36.63B
11,DASH,"DoorDash, Inc.",52.43B,-2.30%,1374757,8.64B
12,SPOT,Spotify Technology S.A.,51.45B,-1.91%,933136,14.72B
13,CHTR,"Charter Communications, Inc.",41.21B,5.10%,799616,54.61B
14,EA,Electronic Arts Inc.,36.13B,1.17%,622933,7.66B
15,BIDU,"Baidu, Inc.",34.40B,3.07%,1745777,18.98B
16,BCE,BCE Inc.,33.43B,-0.22%,780703,18.55B
17,ORAN,Orange S.A.,30.87B,-0.34%,77897,46.25B
18,CHT,"Chunghwa Telecom Co., Ltd.",29.87B,0.68%,13184,7.26B
19,RBLX,Roblox Corporation,26.54B,5.26%,3641482,2.80B
20,TU,TELUS Corporation,25.63B,-0.06%,594807,15.12B
21,VOD,Vodafone Group PLC,25.08B,-2.05%,4576754,47.57B
22,TLK,Telkom Indonesia (Persero) Tbk PT,24.79B,0.80%,23397,9.48B
23,TTWO,"Take-Two Interactive Software, Inc.",24.73B,1.49%,481972,5.40B
24,PINS,"Pinterest, Inc.",23.70B,-1.60%,4682149,3.06B
25,RCI,Rogers Communications Inc.,23.60B,0.25%,49911,14.52B
26,LYV,"Live Nation Entertainment, Inc.",23.02B,0.32%,404884,22.75B
27,WBD,"Warner Bros. Discovery, Inc.",21.30B,3.89%,12047164,41.32B
28,SNAP,Snap Inc.,19.54B,-4.20%,10821744,4.61B
29,OMC,Omnicom Group Inc.,18.15B,2.97%,425777,14.69B
30,TME,Tencent Music Entertainment Group,18.07B,-1.71%,2448114,3.89B
31,WMG,Warner Music Group Corp.,17.57B,0.38%,144805,6.30B
32,VIV,Telefônica Brasil S.A.,17.39B,-1.04%,109571,10.70B
33,FWONA,Formula One Group - Series A,16.56B,0.11%,22307,12.53B
34,FWONK,Formula One Group - Series C,16.55B,-0.06%,309438,-
35,SIRI,Sirius XM Holdings Inc.,15.98B,0.24%,5492118,8.95B
36,NWSA,News Corporation,15.17B,0.06%,641912,9.97B
37,Z,"Zillow Group, Inc.",13.19B,-1.64%,566283,1.95B
38,FOXA,Fox Corporation,13.11B,3.71%,1170938,14.56B
39,IPG,"The Interpublic Group of Companies, Inc.",12.22B,2.14%,1306911,10.89B
40,TWLO,Twilio Inc.,11.32B,0.10%,1071618,4.15B
41,LSXMA,Liberty SiriusXM Group - Series A,9.84B,1.44%,161646,-
42,LSXMK,Liberty SiriusXM Group - Series C,9.84B,1.24%,360076,-
43,WPP,WPP plc,9.83B,0.66%,44748,18.79B
44,LSXMB,Liberty SiriusXM Group - Series B,9.73B,1.01%,206,-
45,ROKU,"Roku, Inc.",9.26B,-0.14%,1312046,3.48B
46,MTCH,"Match Group, Inc.",9.14B,0.59%,1202284,3.36B
47,TIMB,TIM S.A.,8.99B,-2.90%,262949,4.07B
48,PSO,Pearson plc,8.91B,0.71%,468526,4.65B
49,SKM,"SK Telecom Co.,Ltd",8.52B,0.45%,64225,9.72B
50,LBRDK,Liberty Broadband Corporation,8.48B,4.11%,388353,981.00M
51,PARA,Paramount Global,7.53B,6.31%,4975436,29.65B
52,EDR,"Endeavor Group Holdings, Inc.",7.48B,1.88%,471108,5.96B
53,KT,KT Corporation,7.28B,-0.62%,241794,20.80B
54,NYT,The New York Times Company,7.19B,1.71%,315589,2.43B
55,TKO,"TKO Group Holdings, Inc.",7.10B,-0.11%,154707,1.67B
56,LBTYK,Liberty Global plc,6.71B,1.82%,426888,7.49B
57,PHI,PLDT Inc.,6.29B,16.74%,328935,3.68B
58,FYBR,"Frontier Communications Parent, Inc.",6.15B,1.75%,291252,5.74B
59,NXST,"Nexstar Media Group, Inc.",5.47B,1.43%,92563,4.93B
60,BILI,Bilibili Inc.,4.59B,13.30%,7409747,3.18B
61,IAC,IAC Inc.,4.48B,0.35%,111875,4.37B
62,MSGS,Madison Square Garden Sports Corp.,4.42B,-0.33%,17382,879.61M
63,TKC,Turkcell Iletisim Hizmetleri A.S.,4.29B,-3.72%,149069,3.29B
64,IQ,"iQIYI, Inc.",3.77B,3.30%,3386629,4.50B
65,IRDM,Iridium Communications Inc.,3.49B,1.44%,398059,790.72M
66,LLYVA,Liberty Live Group - Series A,3.30B,0.80%,14535,-
67,ATHM,Autohome Inc.,3.26B,2.65%,116407,985.69M
68,CCOI,"Cogent Communications Holdings, Inc.",3.22B,0.71%,256088,940.92M
69,TIGO,Millicom International Cellular S.A.,3.13B,0.11%,58507,5.57B
70,ZD,"Ziff Davis, Inc.",3.08B,1.38%,54954,1.36B
71,USM,United States Cellular Corporation,3.01B,0.17%,38341,3.91B
72,TEO,Telecom Argentina S.A.,2.86B,-3.97%,37012,4.13B
73,LLYVK,Liberty Live Group - Series C,2.75B,0.57%,29417,-
74,PLTK,Playtika Holding Corp.,2.69B,1.54%,142766,2.57B
75,TGNA,TEGNA Inc.,2.69B,3.70%,1466712,2.91B
76,IDCC,"InterDigital, Inc.",2.66B,-0.40%,55933,549.59M
77,YELP,Yelp Inc.,2.61B,-0.05%,127976,1.34B
78,CABO,"Cable One, Inc.",2.61B,3.84%,17214,1.68B
79,GSAT,"Globalstar, Inc.",2.48B,8.33%,1984413,223.81M
80,CARG,"CarGurus, Inc.",2.47B,-,294367,914.24M
81,PLAY,"Dave & Buster's Entertainment, Inc.",2.44B,-3.00%,165148,2.17B
82,MANU,Manchester United plc,2.43B,-1.18%,115438,797.40M
83,BATRA,Atlanta Braves Holdings Inc,2.43B,0.27%,4174,640.67M
84,BATRK,Atlanta Braves Holdings Inc,2.43B,0.31%,14166,640.67M
85,CMPR,Cimpress plc,2.38B,-2.93%,17278,3.21B
86,LGF.A,Lions Gate Entertainment Corp.,2.30B,10.80%,373812,3.98B
87,WB,Weibo Corporation,2.28B,2.66%,868380,1.74B
88,CNK,"Cinemark Holdings, Inc.",2.08B,3.03%,841854,3.07B
89,WLY,"John Wiley & Sons, Inc.",2.03B,1.38%,138797,1.93B
90,GETY,"Getty Images Holdings, Inc.",1.93B,-0.63%,59298,922.08M
91,BOWL,Bowlero Corp.,1.91B,-0.78%,120129,1.09B
92,CRTO,Criteo S.A.,1.87B,0.27%,84307,1.95B
93,LUMN,"Lumen Technologies, Inc.",1.84B,-3.30%,4834025,14.56B
94,YY,JOYY Inc.,1.82B,1.32%,131628,2.30B
95,VEON,VEON Ltd.,1.82B,0.39%,16311,1.72B
96,TDS,"Telephone and Data Systems, Inc.",1.80B,-1.13%,172572,5.16B
97,MSGE,Madison Square Garden Entertainment Corp.,1.79B,-0.87%,104365,894.04M
98,SSTK,"Shutterstock, Inc.",1.79B,-0.67%,123662,874.59M
99,TV,"Grupo Televisa, S.A.B.",1.73B,0.68%,261957,3.88B
100,SPHR,Sphere Entertainment Co.,1.69B,-1.44%,151185,229.80M
101,MGNI,"Magnite, Inc.",1.61B,-2.16%,168342,619.71M
102,IAS,Integral Ad Science Holding Corp.,1.52B,1.26%,836910,474.37M
103,STGW,Stagwell Inc.,1.52B,1.98%,133337,2.58B
104,OPRA,Opera Limited,1.37B,-1.28%,1189458,396.83M
105,LILAK,Liberty Latin America Ltd.,1.35B,1.41%,441209,4.51B
106,ANGI,Angi Inc.,1.32B,-2.23%,157586,1.36B
107,MOMO,Hello Group Inc.,1.30B,3.37%,461320,1.68B
108,MAX,"MediaAlpha, Inc.",1.28B,0.10%,64381,388.15M
