,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,AMZN,"Amazon.com, Inc.","1,821.43B",-1.93%,12752798,574.79B
1,TSLA,"Tesla, Inc.",558.42B,1.39%,47428039,96.77B
2,HD,"The Home Depot, Inc.",369.76B,-0.49%,813564,152.67B
3,TM,Toyota Motor Corporation,319.09B,-3.03%,169147,308.27B
4,MCD,McDonald's Corporation,211.24B,0.78%,711500,25.49B
5,BABA,Alibaba Group Holding Limited,188.26B,1.78%,7696386,130.82B
6,NKE,"NIKE, Inc.",150.24B,1.94%,2787721,51.54B
7,PDD,PDD Holdings Inc.,146.60B,1.40%,5810194,27.31B
8,LOW,"Lowe's Companies, Inc.",138.88B,-0.41%,540736,86.38B
9,BKNG,Booking Holdings Inc.,119.11B,0.49%,82278,21.37B
10,TJX,"The TJX Companies, Inc.",109.31B,0.58%,1150454,52.33B
11,ABNB,"Airbnb, Inc.",103.91B,-1.16%,1135306,9.92B
12,SBUX,Starbucks Corporation,103.10B,1.11%,2322584,36.69B
13,STLA,Stellantis N.V.,83.41B,1.03%,2843211,210.60B
14,MELI,"MercadoLibre, Inc.",77.56B,2.30%,101751,14.47B
15,RACE,Ferrari N.V.,74.56B,-1.84%,72496,6.63B
16,CMG,"Chipotle Mexican Grill, Inc.",73.66B,-0.88%,69610,9.87B
17,MAR,"Marriott International, Inc.",72.45B,-0.72%,354649,23.71B
18,ORLY,"O'Reilly Automotive, Inc.",64.01B,0.18%,70310,15.81B
19,LULU,Lululemon Athletica Inc.,58.10B,-0.57%,193096,9.19B
20,HMC,"Honda Motor Co., Ltd.",56.72B,-2.36%,335208,136.70B
21,AZO,"AutoZone, Inc.",53.31B,-0.62%,47062,17.83B
22,CPRT,"Copart, Inc.",52.84B,-0.78%,1463122,4.06B
23,HLT,Hilton Worldwide Holdings Inc.,51.87B,-0.74%,245873,10.24B
24,DHI,"D.R. Horton, Inc.",50.96B,-0.57%,594508,35.93B
25,ROST,"Ross Stores, Inc.",49.07B,0.09%,406859,20.38B
26,F,Ford Motor Company,48.40B,-0.57%,13335196,176.19B
27,GM,General Motors Company,45.60B,0.08%,3604879,171.84B
28,LEN,Lennar Corporation,45.32B,-0.04%,837380,34.23B
29,JD,"JD.com, Inc.",41.17B,5.33%,11165574,152.98B
30,YUM,"Yum! Brands, Inc.",39.26B,0.37%,284546,7.08B
31,LVS,Las Vegas Sands Corp.,38.82B,2.14%,936284,10.37B
32,FLUT,Flutter Entertainment plc,38.09B,0.23%,34521,9.28B
33,LI,Li Auto Inc.,37.73B,0.36%,3474818,17.47B
34,QSR,Restaurant Brands International Inc.,36.06B,0.78%,143502,7.02B
35,CPNG,"Coupang, Inc.",33.23B,1.04%,3698073,24.38B
36,SE,Sea Limited,32.83B,1.20%,1458059,13.06B
37,RCL,Royal Caribbean Cruises Ltd.,32.72B,0.26%,659940,13.90B
38,TCOM,Trip.com Group Limited,28.10B,-0.28%,1094226,6.28B
39,TSCO,Tractor Supply Company,27.03B,-0.64%,171845,14.56B
40,ULTA,"Ulta Beauty, Inc.",26.23B,1.54%,201998,10.88B
41,EBAY,eBay Inc.,26.09B,2.34%,2375415,10.11B
42,NVR,"NVR, Inc.",24.23B,-0.39%,5401,9.31B
43,PHM,"PulteGroup, Inc.",23.90B,-1.62%,419799,16.06B
44,DECK,Deckers Outdoor Corporation,23.41B,-1.16%,106795,4.12B
45,MBLY,Mobileye Global Inc.,22.25B,0.43%,859941,2.08B
46,ROL,"Rollins, Inc.",22.13B,0.62%,355836,3.07B
