,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,WMT,Walmart Inc.,484.13B,-,3802788,648.13B
1,PG,The Procter & Gamble Company,377.31B,0.75%,2133817,83.93B
2,COST,Costco Wholesale Corporation,321.82B,-1.58%,1633330,248.83B
3,KO,The Coca-Cola Company,259.78B,1.21%,3602503,45.75B
4,PEP,"PepsiCo, Inc.",224.10B,1.03%,1431442,91.47B
5,FMX,"Fomento Económico Mexicano, SAB de CV",219.81B,0.05%,81035,34.56B
6,PM,Philip Morris International Inc.,143.88B,1.87%,1065310,35.17B
7,BUD,Anheuser-Busch InBev SA/NV,125.23B,1.63%,1059847,74.94B
8,UL,Unilever PLC,123.21B,0.37%,952392,66.90B
9,MDLZ,"Mondelez International, Inc.",96.74B,0.77%,1604356,36.02B
10,DEO,Diageo plc,83.77B,0.81%,439255,21.66B
11,TGT,Target Corporation,78.36B,-0.97%,997266,107.41B
12,MO,"Altria Group, Inc.",73.84B,1.93%,3230355,24.48B
13,CL,Colgate-Palmolive Company,72.49B,0.07%,1042994,19.46B
14,BTI,British American Tobacco p.l.c.,66.29B,1.35%,3950537,34.54B
15,MNST,Monster Beverage Corporation,61.98B,-0.03%,953314,7.14B
16,EL,The Estée Lauder Companies Inc.,53.59B,2.96%,397746,15.16B
17,STZ,"Constellation Brands, Inc.",47.11B,1.66%,431761,9.82B
18,KMB,Kimberly-Clark Corporation,42.71B,0.90%,305495,20.43B
19,KHC,The Kraft Heinz Company,42.43B,0.40%,1429617,26.64B
20,KDP,Keurig Dr Pepper Inc.,40.43B,0.55%,1811750,14.81B
21,KR,The Kroger Co.,40.30B,-1.75%,2219035,150.04B
22,ABEV,Ambev S.A.,40.08B,-0.39%,2111409,16.37B
23,SYY,Sysco Corporation,39.95B,-0.67%,538729,77.51B
24,HSY,The Hershey Company,39.68B,2.29%,737449,11.16B
25,KVUE,Kenvue Inc.,38.58B,0.65%,3703860,15.44B
26,GIS,"General Mills, Inc.",37.06B,0.61%,896680,20.20B
27,DG,Dollar General Corporation,34.53B,1.28%,562436,39.04B
28,CCEP,Coca-Cola Europacific Partners PLC,32.43B,1.32%,226344,20.34B
29,DLTR,"Dollar Tree, Inc.",32.23B,0.74%,673333,29.68B
30,ADM,Archer-Daniels-Midland Company,29.23B,0.18%,1423554,96.90B
31,BF.A,Brown-Forman Corporation,26.20B,1.03%,14307,4.26B
32,CHD,"Church & Dwight Co., Inc.",25.38B,-0.26%,256846,5.87B
33,CELH,"Celsius Holdings, Inc.",20.69B,-4.03%,2048917,1.32B
34,KOF,"Coca-Cola FEMSA, SAB de CV",20.25B,0.75%,45416,597.02M
35,CLX,The Clorox Company,19.32B,-0.08%,170196,7.31B
36,TSN,"Tyson Foods, Inc.",19.32B,2.99%,638724,52.94B
37,MKC.V,"McCormick & Company, Incorporated",18.83B,2.44%,1308,6.66B
38,HRL,Hormel Foods Corporation,18.68B,0.23%,800121,12.14B
39,K,Kellanova Co,18.53B,-0.11%,742148,13.12B
40,MKC,"McCormick & Company, Incorporated",18.38B,1.91%,239815,6.66B
41,EDU,New Oriental Education & Technology Group Inc.,14.85B,-1.29%,582902,3.58B
42,LW,"Lamb Weston Holdings, Inc.",14.73B,1.00%,384788,6.35B
43,TAP,Molson Coors Beverage Company,13.72B,2.15%,553054,11.70B
44,TAP.A,Molson Coors Beverage Company,13.72B,-0.73%,21,11.70B
45,CAG,"Conagra Brands, Inc.",13.45B,1.42%,697752,12.17B
46,BG,Bunge Limited,13.40B,1.75%,416763,59.54B
47,USFD,US Foods Holding Corp.,12.90B,-0.13%,205876,35.60B
48,CPB,Campbell Soup Company,12.82B,1.80%,741057,9.27B
49,SJM,The J. M. Smucker Company,12.69B,1.69%,287002,8.21B
50,ACI,"Albertsons Companies, Inc.",12.02B,-0.05%,320001,79.16B
51,PFGC,Performance Food Group Company,11.73B,-1.59%,216607,57.87B
52,COTY,Coty Inc.,11.40B,-0.39%,495060,6.01B
53,ELF,"e.l.f. Beauty, Inc.",10.78B,-3.45%,454105,890.15M
54,BJ,"BJ's Wholesale Club Holdings, Inc.",10.07B,-1.60%,505329,19.54B
55,BRBR,"BellRing Brands, Inc.",7.83B,-3.20%,271297,1.73B
56,COKE,"Coca-Cola Consolidated, Inc.",7.73B,0.11%,13765,6.65B
57,INGR,Ingredion Incorporated,7.70B,0.13%,94530,8.16B
58,PPC,Pilgrim's Pride Corporation,7.67B,1.45%,124273,17.36B
59,TAL,TAL Education Group,7.55B,5.67%,5569156,1.33B
60,DAR,Darling Ingredients Inc.,6.95B,0.16%,266914,6.79B
61,SFM,"Sprouts Farmers Market, Inc.",6.41B,-1.26%,269446,6.84B
62,POST,"Post Holdings, Inc.",6.25B,0.05%,61465,7.39B
63,LANC,Lancaster Colony Corporation,5.65B,-0.56%,11569,1.87B
64,BRFS,BRF S.A.,5.54B,0.60%,1195157,10.17B
65,FRPT,"Freshpet, Inc.",5.26B,-0.30%,171502,766.90M
66,FLO,"Flowers Foods, Inc.",4.87B,0.83%,214326,5.09B
67,FIZZ,National Beverage Corp.,4.66B,-2.53%,21644,1.18B
68,OLLI,"Ollie's Bargain Outlet Holdings, Inc.",4.63B,1.21%,125401,2.00B
69,IPAR,"Inter Parfums, Inc.",4.40B,-0.11%,26655,1.32B
