,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,XOM,Exxon Mobil Corporation,430.03B,0.59%,5835008,344.58B
1,CVX,Chevron Corporation,278.37B,1.41%,2613282,200.95B
2,SHEL,Shell plc,206.58B,-0.05%,1471306,386.20B
3,TTE,TotalEnergies SE,153.12B,0.47%,223215,218.95B
4,COP,Conoco Phillips,132.93B,1.99%,1466890,58.57B
5,PBR.A,Petróleo Brasileiro S.A. - Petrobras,108.24B,-1.04%,5782327,124.47B
6,PBR,Petróleo Brasileiro S.A. - Petrobras,107.13B,-1.49%,17006138,124.47B
7,BP,BP p.l.c.,102.84B,0.22%,2428449,213.03B
8,EQNR,Equinor ASA,77.02B,-1.41%,1974817,150.81B
9,CNQ,Canadian Natural Resources Limited,76.98B,0.63%,482174,27.04B
10,ENB,Enbridge Inc.,76.40B,0.50%,1028307,32.82B
11,SLB,Schlumberger Limited,73.81B,2.24%,3430211,33.14B
12,EOG,"EOG Resources, Inc.",68.86B,1.77%,1116893,24.19B
13,MPC,Marathon Petroleum Corporation,64.88B,1.04%,672294,150.31B
14,PSX,Phillips 66,63.89B,0.10%,667229,149.89B
15,EPD,Enterprise Products Partners L.P.,60.92B,0.57%,1206054,49.72B
16,PXD,Pioneer Natural Resources Company,56.89B,0.46%,330635,19.36B
17,OXY,Occidental Petroleum Corporation,53.47B,1.18%,1870943,28.92B
18,E,Eni S.p.A.,50.78B,-0.03%,79801,142.22B
19,ET,Energy Transfer LP,50.62B,-0.13%,4442914,78.59B
20,VLO,Valero Energy Corporation,49.72B,0.68%,730342,144.77B
21,HES,Hess Corporation,45.14B,1.44%,592638,10.65B
22,OKE,"ONEOK, Inc.",45.00B,0.17%,399147,17.68B
23,SU,Suncor Energy Inc.,44.50B,0.90%,1191734,38.15B
24,WMB,"The Williams Companies, Inc.",43.86B,1.64%,1913138,10.91B
25,TRP,TC Energy Corporation,41.85B,0.99%,632892,11.98B
26,MPLX,MPLX LP,40.97B,0.52%,374243,11.28B
27,KMI,"Kinder Morgan, Inc.",39.57B,0.79%,3449107,15.33B
28,WDS,Woodside Energy Group Ltd,37.98B,-1.37%,435993,13.99B
29,LNG,"Cheniere Energy, Inc.",36.37B,0.96%,474241,20.39B
30,IMO,Imperial Oil Limited,34.51B,1.99%,162369,38.32B
