,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,BRK.B,Berkshire Hathaway Inc.,875.59B,0.40%,759056,439.34B
1,V,Visa Inc.,575.22B,0.19%,1127375,33.35B
2,JPM,JPMorgan Chase & Co.,542.14B,0.04%,1764970,158.10B
3,MA,Mastercard Incorporated,437.77B,-0.02%,404452,25.10B
4,BAC,Bank of America Corporation,280.27B,0.81%,9198519,98.58B
5,WFC,Wells Fargo & Company,204.16B,0.04%,4564503,82.60B
6,AXP,American Express Company,161.69B,-1.42%,903285,55.59B
7,BX,Blackstone Inc.,151.90B,-1.13%,763073,8.02B
8,MS,Morgan Stanley,142.33B,-0.11%,1581585,54.14B
9,HSBC,HSBC Holdings plc,142.18B,-0.83%,832907,66.06B
10,HDB,HDFC Bank Limited,141.24B,0.04%,769915,13.76B
11,RY,Royal Bank of Canada,140.79B,0.70%,83179,40.69B
12,SPGI,S&P Global Inc.,134.03B,-0.36%,253574,12.50B
13,MUFG,"Mitsubishi UFJ Financial Group, Inc.",130.20B,-4.27%,1628394,30.79B
14,GS,"The Goldman Sachs Group, Inc.",125.99B,-0.21%,530931,46.25B
15,BLK,"BlackRock, Inc.",124.53B,-1.31%,130070,17.86B
16,SCHW,The Charles Schwab Corporation,122.54B,-0.33%,2288777,18.84B
17,PGR,The Progressive Corporation,116.20B,-0.84%,630347,62.11B
18,C,Citigroup Inc.,109.92B,-0.17%,3467219,78.46B
19,TD,The Toronto-Dominion Bank,107.18B,0.27%,379249,36.86B
20,CB,Chubb Limited,100.96B,2.49%,518661,49.74B
21,MMC,"Marsh & McLennan Companies, Inc.",100.86B,0.39%,220089,22.74B
22,UBS,UBS Group AG,100.21B,0.62%,1608607,37.16B
23,IBN,ICICI Bank Limited,92.06B,-0.38%,872792,22.65B
24,KKR,KKR & Co. Inc.,86.77B,-1.28%,1303457,14.50B
25,ICE,"Intercontinental Exchange, Inc.",78.35B,-1.22%,718231,9.90B
26,SMFG,"Sumitomo Mitsui Financial Group, Inc.",77.91B,-3.73%,761364,28.63B
27,CME,CME Group Inc.,76.67B,1.78%,361945,5.58B
28,MCO,Moody's Corporation,70.65B,-0.56%,104237,5.92B
29,SAN,"Banco Santander, S.A.",68.96B,-,868420,62.93B
30,BMO,Bank of Montreal,68.43B,0.43%,109508,24.15B
31,USB,U.S. Bancorp,67.32B,0.60%,1598848,25.74B
32,ITUB,Itaú Unibanco Holding S.A.,67.12B,0.15%,5297040,21.85B
33,BN,Brookfield Corporation,65.26B,0.17%,1166052,95.62B
34,PYPL,"PayPal Holdings, Inc.",64.28B,1.81%,5003169,29.77B
35,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",63.39B,0.56%,383006,35.80B
36,AON,Aon plc,62.81B,0.39%,85949,13.38B
37,APO,"Apollo Global Management, Inc.",61.68B,0.01%,760092,32.64B
38,BNS,The Bank of Nova Scotia,61.19B,-0.40%,550413,24.42B
39,PNC,"The PNC Financial Services Group, Inc.",59.80B,1.67%,324400,21.49B
40,AJG,Arthur J. Gallagher & Co.,54.57B,0.41%,160753,10.07B
41,NU,Nu Holdings Ltd.,52.76B,4.34%,11776734,8.03B
42,COF,Capital One Financial Corporation,52.20B,0.90%,455580,26.36B
43,MFG,"Mizuho Financial Group, Inc.",51.56B,-4.66%,1125033,15.13B
44,MET,"MetLife, Inc.",51.28B,1.11%,607530,66.91B
45,AIG,"American International Group, Inc.",50.67B,0.67%,536745,46.80B
46,TRV,"The Travelers Companies, Inc.",50.05B,0.26%,216584,41.36B
47,TFC,Truist Financial Corporation,49.96B,-0.56%,1570821,21.28B
48,ING,ING Groep N.V.,49.47B,2.24%,3536609,24.64B
49,AFL,Aflac Incorporated,47.99B,1.29%,363909,18.70B
50,CM,Canadian Imperial Bank of Commerce,46.62B,-0.02%,303667,17.63B
51,IBKR,"Interactive Brokers Group, Inc.",44.98B,-0.17%,338826,4.34B
52,MSCI,MSCI Inc.,43.62B,2.32%,67217,2.53B
53,MFC,Manulife Financial Corporation,43.01B,0.29%,397231,25.32B
54,BSBR,Banco Santander (Brasil) S.A.,42.62B,0.18%,183168,65.86B
55,BK,The Bank of New York Mellon Corporation,41.76B,0.25%,822927,17.50B
56,AMP,"Ameriprise Financial, Inc.",41.32B,-0.08%,77394,15.54B
57,ALL,The Allstate Corporation,41.28B,1.92%,376229,57.09B
58,ARES,Ares Management Corporation,41.17B,-1.13%,156577,3.63B
59,LYG,Lloyds Banking Group plc,39.97B,1.21%,4543262,61.65B
60,PRU,"Prudential Financial, Inc.",39.91B,0.38%,248725,53.98B
