,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,GE,General Electric Company,182.80B,-0.83%,3633816,67.95B
1,CAT,Caterpillar Inc.,169.38B,-1.24%,687572,67.06B
2,UNP,Union Pacific Corporation,153.03B,-0.43%,350224,24.12B
3,UPS,"United Parcel Service, Inc.",131.27B,0.51%,630076,90.96B
4,HON,Honeywell International Inc.,130.93B,-0.23%,755845,36.66B
5,BA,The Boeing Company,121.11B,-3.02%,7665581,77.79B
6,RTX,RTX Corp,120.73B,0.57%,1783011,68.92B
7,ETN,Eaton Corporation plc,118.85B,-1.61%,721976,23.20B
8,LMT,Lockheed Martin Corporation,104.61B,0.43%,302869,67.57B
9,DE,Deere & Company,104.13B,0.25%,245267,60.79B
10,ADP,"Automatic Data Processing, Inc.",99.58B,0.70%,356371,18.59B
11,CP,Canadian Pacific Railway Limited,83.91B,-0.06%,351992,9.44B
12,WM,"Waste Management, Inc.",83.23B,0.74%,368541,20.43B
13,CNI,Canadian National Railway Company,82.84B,0.04%,178150,12.65B
14,ITW,Illinois Tool Works Inc.,78.04B,0.23%,302232,16.11B
15,GD,General Dynamics Corporation,74.61B,0.35%,131481,42.27B
16,CSX,CSX Corporation,74.53B,-0.39%,1762192,14.66B
17,TRI,Thomson Reuters Corporation,71.45B,1.03%,49466,6.79B
18,PH,Parker-Hannifin Corporation,69.00B,-0.24%,170932,19.83B
19,NOC,Northrop Grumman Corporation,68.94B,-0.05%,132559,39.29B
20,TDG,TransDigm Group Incorporated,64.78B,-1.14%,83862,6.98B
21,TT,Trane Technologies plc,64.68B,-0.68%,163967,17.68B
22,CTAS,Cintas Corporation,63.39B,-0.15%,47778,9.19B
23,EMR,Emerson Electric Co.,62.97B,-0.45%,566412,15.91B
24,FDX,FedEx Corporation,62.34B,2.03%,290948,87.95B
25,PCAR,PACCAR Inc,60.06B,-0.54%,617567,35.13B
26,NSC,Norfolk Southern Corporation,58.63B,-0.49%,214710,12.16B
