,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LIN,Linde plc,222.75B,1.50%,1448904,32.85B
1,BHP,BHP Group Limited,147.36B,-2.04%,1265294,55.34B
2,RIO,Rio Tinto Group,101.45B,-1.10%,2293764,54.04B
3,SHW,The Sherwin-Williams Company,86.57B,-0.09%,270306,23.05B
4,SCCO,Southern Copper Corporation,66.70B,0.20%,437190,9.90B
5,ECL,Ecolab Inc.,63.80B,0.20%,419625,15.32B
6,CRH,CRH plc,58.29B,1.38%,1758492,34.95B
7,FCX,Freeport-McMoRan Inc.,57.16B,1.43%,2663405,22.86B
8,VALE,Vale S.A.,56.24B,-2.54%,20895761,43.84B
9,APD,"Air Products and Chemicals, Inc.",55.12B,2.62%,502657,12.42B
10,NUE,Nucor Corporation,44.74B,-0.54%,383891,34.71B
11,DOW,Dow Inc.,40.19B,1.45%,973525,44.62B
12,NEM,Newmont Corporation,39.08B,3.92%,7705449,11.81B
13,CTVA,"Corteva, Inc.",38.37B,0.75%,916246,17.23B
14,MLM,"Martin Marietta Materials, Inc.",36.90B,-0.19%,130846,6.78B
15,VMC,Vulcan Materials Company,35.26B,-0.66%,219322,7.78B
16,PPG,"PPG Industries, Inc.",33.12B,1.26%,289855,18.25B
17,LYB,LyondellBasell Industries N.V.,32.11B,1.74%,247984,41.11B
18,DD,"DuPont de Nemours, Inc.",29.82B,1.05%,463770,12.07B
19,GOLD,Barrick Gold Corporation,27.78B,0.70%,7935460,11.40B
20,AEM,Agnico Eagle Mines Limited,27.44B,2.07%,1502202,6.63B
21,NTR,Nutrien Ltd.,26.23B,0.62%,251747,29.06B
22,PKX,POSCO Holdings Inc.,25.21B,-1.10%,16495,59.55B
23,FNV,Franco-Nevada Corporation,22.17B,-1.10%,310893,1.22B
24,TECK,Teck Resources Limited,21.63B,0.41%,759432,11.29B
25,MT,ArcelorMittal S.A.,21.20B,0.23%,546169,68.28B
26,STLD,"Steel Dynamics, Inc.",20.79B,-1.19%,215821,18.80B
27,WPM,Wheaton Precious Metals Corp.,20.47B,0.51%,1491434,938.63M
28,IFF,International Flavors & Fragrances Inc.,20.11B,2.93%,469337,11.48B
29,RS,Reliance Steel & Aluminum Co.,18.36B,-0.58%,49120,14.81B
30,WLK,Westlake Corporation,18.17B,0.08%,84531,12.55B
31,JHX,James Hardie Industries plc,17.87B,-0.82%,1996,3.85B
32,AVTR,"Avantor, Inc.",17.39B,-1.44%,865030,6.97B
33,CE,Celanese Corporation,16.93B,1.25%,108669,10.94B
34,CF,"CF Industries Holdings, Inc.",15.83B,0.87%,414131,6.63B
35,SUZ,Suzano S.A.,15.29B,-1.01%,164636,8.16B
36,RPM,RPM International Inc.,15.15B,0.18%,90296,7.34B
37,GFI,Gold Fields Limited,14.15B,3.41%,1803051,4.29B
38,SQM,Sociedad Química y Minera de Chile S.A.,13.97B,6.41%,599282,10.71B
39,ALB,Albemarle Corporation,13.90B,5.43%,1724620,9.62B
40,CX,"CEMEX, SAB de CV",11.71B,2.65%,1581772,15.58B
41,EMN,Eastman Chemical Company,10.54B,2.06%,203288,9.21B
42,X,United States Steel Corporation,10.54B,-0.72%,401109,18.05B
43,CLF,Cleveland-Cliffs Inc.,10.46B,-2.19%,1913172,22.00B
44,MOS,The Mosaic Company,10.16B,0.19%,953131,13.70B
45,AU,AngloGold Ashanti Limited,9.64B,2.19%,649179,4.50B
46,EXP,Eagle Materials Inc.,8.85B,-2.09%,98003,2.25B
47,TX,Ternium S.A.,7.88B,0.50%,44379,17.63B
48,FMC,FMC Corporation,7.82B,2.34%,462093,4.49B
49,GGB,Gerdau S.A.,7.45B,-,1580982,15.58B
50,RGLD,"Royal Gold, Inc.",7.41B,1.92%,183206,605.72M
51,AXTA,Axalta Coating Systems Ltd.,7.37B,0.42%,277478,5.18B
52,SUM,"Summit Materials, Inc.",7.35B,-1.95%,229231,2.62B
53,UFPI,"UFP Industries, Inc.",7.10B,-1.65%,57226,7.22B
54,OLN,Olin Corporation,6.83B,-0.25%,196966,6.83B
55,WFG,West Fraser Timber Co. Ltd.,6.82B,2.80%,35246,6.45B
56,ICL,ICL Group Ltd,6.73B,-4.81%,537069,7.54B
57,KGC,Kinross Gold Corporation,6.62B,3.91%,7595633,4.24B
58,CMC,Commercial Metals Company,6.30B,-2.99%,308465,8.58B
59,NEU,NewMarket Corporation,5.90B,-0.07%,4559,2.70B
60,ESI,Element Solutions Inc,5.80B,0.13%,140339,2.33B
61,AA,Alcoa Corporation,5.36B,2.14%,2270356,10.55B
62,AGI,Alamos Gold Inc.,5.32B,2.99%,1214064,1.02B
63,ALTM,Arcadium Lithium plc,5.20B,1.45%,2947696,882.50M
64,BCC,Boise Cascade Company,5.11B,-0.85%,64225,6.84B
65,PAAS,Pan American Silver Corp.,5.07B,1.66%,1480040,2.32B
66,BCPC,Balchem Corporation,5.03B,-0.24%,8553,922.44M
67,SIM,"Grupo Simec, SAB de CV",4.92B,-,2,2.78B
68,HMY,Harmony Gold Mining Company Limited,4.89B,11.06%,6162831,169.01M
69,AMR,"Alpha Metallurgical Resources, Inc.",4.89B,-8.49%,117662,3.47B
70,SSL,Sasol Limited,4.87B,-3.95%,429583,15.57B
71,CBT,Cabot Corporation,4.83B,1.25%,48947,3.92B
72,ASH,Ashland Inc.,4.78B,1.17%,30173,2.14B
73,HUN,Huntsman Corporation,4.58B,-1.58%,204892,6.11B
74,FUL,H.B. Fuller Company,4.31B,0.14%,20502,3.51B
75,KNF,Knife River Corporation,4.30B,-0.25%,86708,2.83B
76,BVN,Compania de Minas Buenaventura S.A.,4.29B,3.39%,823931,824.80M
77,SID,Companhia Siderúrgica Nacional,4.23B,-1.24%,1237428,8.39B
78,CC,The Chemours Company,3.96B,1.08%,282050,6.00B
79,SMG,The Scotts Miracle-Gro Company,3.86B,-3.35%,128917,3.44B
80,AVNT,Avient Corporation,3.80B,1.11%,136144,3.14B
81,STR,Sitio Royalties Corp.,3.76B,-1.17%,120681,593.36M
82,KWR,Quaker Chemical Corporation,3.59B,0.96%,8134,1.95B
83,BTG,B2Gold Corp.,3.45B,1.90%,6450949,1.93B
84,BAK,Braskem S.A.,3.45B,2.24%,340400,18.25B
85,WDFC,WD-40 Company,3.43B,-0.89%,16110,552.78M
86,SBSW,Sibanye Stillwater Limited,3.25B,-1.51%,2561801,8.13B
87,IOSP,Innospec Inc.,3.13B,-0.13%,8737,1.95B
88,HCC,"Warrior Met Coal, Inc.",3.06B,-6.51%,1234238,1.68B
89,OR,Osisko Gold Royalties Ltd,3.00B,-0.37%,895375,185.95M
90,CSTM,Constellium SE,2.95B,0.50%,99029,8.04B
91,SXT,Sensient Technologies Corporation,2.91B,0.68%,30153,1.46B
92,MEOH,Methanex Corporation,2.87B,1.85%,42189,3.72B
93,TFPM,Triple Flag Precious Metals Corp.,2.74B,0.15%,89470,204.02M
94,MTRN,Materion Corporation,2.73B,-0.48%,68757,1.67B
95,SLVM,Sylvamo Corporation,2.58B,0.56%,59266,3.72B
96,MP,MP Materials Corp.,2.56B,0.66%,1095511,253.45M
97,HL,Hecla Mining Company,2.54B,6.32%,4135270,720.23M
98,TROX,Tronox Holdings plc,2.49B,-0.25%,146835,2.85B
99,EGO,Eldorado Gold Corporation,2.48B,0.53%,625854,1.01B
100,MTX,Minerals Technologies Inc.,2.34B,0.61%,12522,2.17B
101,HBM,Hudbay Minerals Inc.,2.23B,0.79%,478743,1.69B
102,TGLS,Tecnoglass Inc.,2.10B,-0.51%,39411,833.27M
103,SCL,Stepan Company,1.96B,1.32%,3303,2.33B
104,ERO,Ero Copper Corp.,1.71B,2.36%,102907,427.48M
105,NGVT,Ingevity Corporation,1.69B,1.35%,37443,1.69B
106,USLM,"United States Lime & Minerals, Inc.",1.64B,0.32%,6295,281.33M
107,IAG,IAMGOLD Corporation,1.55B,1.91%,4880578,987.10M
108,AG,First Majestic Silver Corp.,1.53B,2.64%,4157878,573.80M
109,EQX,Equinox Gold Corp.,1.52B,4.68%,1068449,1.09B
110,SGML,Sigma Lithium Corporation,1.49B,7.93%,596998,129.93M
111,HWKN,"Hawkins, Inc.",1.45B,3.27%,27482,924.29M
112,SAND,Sandstorm Gold Ltd.,1.43B,2.59%,1117545,179.64M
113,WS,"Worthington Steel, Inc.",1.40B,-5.97%,188136,-
114,GPRE,Green Plains Inc.,1.33B,1.11%,117159,3.30B
115,OEC,Orion Engineered Carbons S.A.,1.30B,0.58%,29923,1.89B
116,CGAU,Centerra Gold Inc.,1.23B,1.69%,120931,1.09B
117,CDE,"Coeur Mining, Inc.",1.21B,3.51%,3208329,821.21M
118,KALU,Kaiser Aluminum Corporation,1.21B,0.54%,93314,3.09B
119,KRO,"Kronos Worldwide, Inc.",1.19B,6.48%,173015,1.67B
120,ORLA,Orla Mining Ltd.,1.17B,1.08%,178125,227.46M
121,SA,Seabridge Gold Inc.,1.14B,1.18%,405513,-
122,KOP,Koppers Holdings Inc.,1.11B,0.83%,24920,2.15B
123,ECVT,Ecovyst Inc.,1.07B,0.33%,92357,691.12M
124,CENX,Century Aluminum Company,1.06B,0.09%,215636,2.20B
125,NGD,New Gold Inc.,1.03B,11.33%,6551945,786.50M
126,FSM,Fortuna Silver Mines Inc.,995.76M,4.94%,3160116,842.43M
127,MATV,"Mativ Holdings, Inc.",975.80M,0.94%,423529,2.03B
128,METC,"Ramaco Resources, Inc.",974.24M,-5.85%,559987,626.02M
129,LOMA,Loma Negra Compañía Industrial Argentina SA,935.22M,-0.45%,44000,822.75M
130,MAG,MAG Silver Corp.,931.17M,2.55%,489990,-
131,PRM,"Perimeter Solutions, SA",925.41M,-0.16%,101489,322.11M
132,NEXA,Nexa Resources S.A.,913.83M,-1.73%,7228,2.57B
133,SXC,"SunCoke Energy, Inc.",907.30M,3.42%,526817,2.06B
134,MTUS,Metallus Inc,889.20M,3.46%,318744,1.36B
135,SSRM,SSR Mining Inc.,887.49M,1.40%,1393493,1.43B
136,CMP,"Compass Minerals International, Inc.",862.99M,0.93%,303187,1.19B
137,LAC,Lithium Americas Corp.,860.80M,9.59%,1544091,-
138,NG,NovaGold Resources Inc.,857.36M,3.92%,646559,-
139,ASTL,Algoma Steel Group Inc.,836.47M,-3.73%,73157,2.14B
140,GSM,Ferroglobe PLC,820.96M,-3.58%,346211,1.65B
141,SILV,SilverCrest Metals Inc.,812.15M,9.34%,3262731,245.13M
142,LAAC,Lithium Americas (Argentina) Corp.,812.11M,2.40%,349662,-
143,BIOX,Bioceres Crop Solutions Corp.,801.95M,-1.06%,2851,450.32M
144,WLKP,Westlake Chemical Partners LP,794.39M,0.80%,4115,1.19B
145,REX,REX American Resources Corporation,763.60M,-0.34%,17259,845.94M
146,DRD,DRDGOLD Limited,724.52M,3.99%,133690,16.86M
147,ASIX,AdvanSix Inc.,721.70M,0.78%,19319,1.53B
148,ZEUS,"Olympic Steel, Inc.",712.26M,1.56%,15334,2.16B
149,LVRO,Lavoro Limited,705.48M,-6.54%,1012,1.90B
150,UAN,"CVR Partners, LP",697.35M,1.18%,15802,681.48M
151,MERC,Mercer International Inc.,665.91M,1.70%,161178,1.99B
152,CLW,Clearwater Paper Corporation,662.16M,1.82%,26134,2.08B
153,NFGC,New Found Gold Corp.,657.79M,1.99%,356963,-
154,METCB,"Ramaco Resources, Inc.",583.28M,-1.94%,6843,626.02M
155,LXU,"LSB Industries, Inc.",549.66M,-0.53%,106092,593.71M
156,CPAC,Cementos Pacasmayo S.A.A.,537.70M,6.98%,10807,525.63M
157,TGB,Taseko Mines Limited,519.71M,3.45%,947486,394.72M
158,ODC,Oil-Dri Corporation of America,518.04M,-1.59%,8429,429.92M
159,HDSN,"Hudson Technologies, Inc.",514.18M,-0.43%,252616,291.61M
160,GATO,"Gatos Silver, Inc.",512.75M,-0.26%,162887,-
161,LWLG,"Lightwave Logic, Inc.",506.54M,-1.18%,171261,40.50K
162,LZM,Lifezone Metals Limited,496.53M,2.19%,6535,3.99M
163,TMC,TMC the metals company Inc.,496.31M,-4.32%,961855,-
164,SVM,Silvercorp Metals Inc.,493.33M,1.84%,773551,206.65M
165,IAUX,i-80 Gold Corp.,477.09M,0.64%,1214384,40.72M
166,ARMN,Aris Mining Corporation,461.74M,-0.89%,137500,447.67M
167,VHI,"Valhi, Inc.",415.84M,5.37%,1913,1.98B
168,MUX,McEwen Mining Inc.,407.26M,0.25%,328876,135.79M
169,SKE,Skeena Resources Limited,400.30M,2.95%,105599,-
170,EXK,Endeavour Silver Corp.,377.43M,14.81%,6268411,205.46M
171,IPX,IperionX Limited,320.94M,-,2676,-
172,AVD,American Vanguard Corporation,311.37M,0.18%,26752,567.17M
173,GROY,Gold Royalty Corp.,304.56M,10.58%,732119,2.61M
174,RYAM,Rayonier Advanced Materials Inc.,274.02M,6.38%,232556,1.64B
175,VZLA,Vizsla Silver Corp.,271.13M,0.94%,350017,-
176,MTA,Metalla Royalty & Streaming Ltd.,267.96M,8.48%,474724,2.91M
177,PLL,Piedmont Lithium Inc.,266.99M,-0.80%,243547,39.82M
178,IPI,"Intrepid Potash, Inc.",265.58M,0.20%,51388,279.08M
179,GAU,Galiano Gold Inc.,265.33M,3.48%,329518,-
180,FF,FutureFuel Corp.,248.14M,1.06%,62098,394.06M
181,PPTA,Perpetua Resources Corp.,240.42M,-,108744,-
182,WRN,Western Copper and Gold Corporation,235.64M,-4.29%,29880,-
183,MSB,Mesabi Trust,235.57M,-0.77%,12844,14.46M
184,SLI,Standard Lithium Ltd.,224.26M,1.59%,515333,-
185,NMG,Nouveau Monde Graphite Inc.,221.81M,-,14134,-
186,IONR,ioneer Ltd,219.59M,-2.80%,6990,-
187,CMCL,Caledonia Mining Corporation Plc,205.77M,-2.63%,14007,141.83M
188,USAP,"Universal Stainless & Alloy Products, Inc.",200.03M,-1.86%,23876,262.36M
189,EMX,EMX Royalty Corporation,199.70M,2.31%,301015,12.48M
190,CTGO,"Contango Ore, Inc.",198.24M,5.81%,5116,-
191,ODV,Osisko Development Corp.,196.09M,9.09%,112014,32.55M
192,GEVO,"Gevo, Inc.",190.00M,-8.85%,3156267,17.20M
193,DC,Dakota Gold Corp.,186.49M,-,90347,-
194,TSE,Trinseo PLC,178.43M,-2.01%,54389,3.68B
195,DNMR,"Danimer Scientific, Inc.",177.51M,1.80%,433836,51.06M
196,SMID,Smith-Midland Corporation,173.13M,0.88%,4001,57.68M
197,ALTO,"Alto Ingredients, Inc.",170.93M,2.30%,311798,1.28B
198,CMT,"Core Molding Technologies, Inc.",167.57M,0.05%,18511,370.40M
199,AMLI,American Lithium Corp.,166.36M,-2.88%,99611,-
200,ATLX,Atlas Lithium Corporation,163.96M,0.47%,26787,620.00
201,NEWP,New Pacific Metals Corp.,161.35M,-13.14%,271484,-
202,GLDG,GoldMining Inc.,158.50M,3.20%,274452,-
203,NAK,Northern Dynasty Minerals Ltd.,151.62M,6.64%,526279,-
204,NWGL,Nature Wood Group Limited,151.60M,11.11%,2314,55.34M
205,LOOP,"Loop Industries, Inc.",134.98M,-2.82%,10573,119.49K
206,NTIC,Northern Technologies International Corporation,133.59M,0.21%,800,80.13M
207,AREC,American Resources Corporation,129.14M,-1.52%,84360,21.36M
208,THM,International Tower Hill Mines Ltd.,127.05M,0.83%,42058,-
209,FRD,"Friedman Industries, Incorporated",126.97M,0.88%,2265,508.21M
210,PLG,Platinum Group Metals Ltd.,115.01M,5.36%,190642,-
211,LGO,Largo Inc.,114.01M,4.09%,13700,202.02M
212,TRX,TRX Gold Corporation,108.82M,2.33%,174721,38.01M
213,ABAT,American Battery Technology Company,105.07M,-2.43%,192250,-
214,ACNT,Ascent Industries Co.,104.60M,1.84%,3654,280.79M
215,FEAM,5E Advanced Materials Inc.,103.79M,-4.27%,33488,-
216,IDR,"Idaho Strategic Resources, Inc.",99.28M,-2.35%,8716,13.31M
217,NB,NioCorp Developments Ltd.,96.31M,4.63%,218827,-
218,VOXR,Vox Royalty Corp.,96.19M,-3.30%,92310,12.31M
219,GLT,Glatfelter Corporation,95.71M,-5.66%,391042,1.39B
220,ORGN,"Origin Materials, Inc.",86.41M,-5.20%,540513,28.81M
221,TMQ,Trilogy Metals Inc.,74.65M,-3.36%,37824,-
222,USGO,U.S. GoldMining Inc.,72.36M,0.87%,3738,-
223,ASM,Avino Silver & Gold Mines Ltd.,65.45M,6.62%,541422,46.01M
224,FURY,Fury Gold Mines Limited,62.96M,-2.19%,67484,-
225,ITRG,Integra Resources Corp.,55.92M,-,129840,-
226,VGZ,Vista Gold Corp.,54.85M,4.42%,236189,-
227,USAS,Americas Gold and Silver Corporation,54.54M,-8.57%,830968,84.89M
228,EVA,Enviva Inc.,49.28M,-11.24%,1883828,1.13B
229,HYMC,Hycroft Mining Holding Corporation,47.50M,-0.44%,73958,11.47M
230,XPL,Solitario Zinc Corp.,46.61M,-5.87%,9038,-
231,HGAS,Global Gas Corporation,45.20M,-,4614,-
232,CGA,"China Green Agriculture, Inc.",41.46M,1.36%,118,112.20M
233,BHIL,"Benson Hill, Inc.",39.80M,0.94%,192820,404.61M
234,HUDI,"Huadi International Group Co., Ltd.",38.50M,1.48%,3396,84.33M
235,USAU,U.S. Gold Corp.,36.30M,5.14%,133743,-
236,ELBM,Electra Battery Materials Corporation,29.44M,4.52%,59619,-
237,UAMY,United States Antimony Corporation,29.39M,-15.02%,104780,8.45M
238,GORO,Gold Resource Corporation,28.34M,23.94%,521806,108.96M
239,BYU,"BAIYU Holdings, Inc.",27.84M,-2.78%,12146,120.11M
240,WWR,"Westwater Resources, Inc.",27.41M,-0.78%,68253,-
241,FSI,"Flexible Solutions International, Inc.",23.75M,-,17145,41.11M
242,PZG,Paramount Gold Nevada Corp.,21.66M,2.98%,14634,-
243,GRFX,Graphex Group Limited,20.68M,2.20%,8033,42.01M
244,LITM,Snow Lake Resources Ltd.,20.00M,-,31576,-
245,ZKIN,"ZK International Group Co., Ltd.",19.77M,0.31%,18655,109.16M
246,SEED,Origin Agritech Limited,19.20M,2.80%,30839,12.83M
247,AAU,Almaden Minerals Ltd.,18.90M,0.36%,85659,-
248,INHD,Inno Holdings Inc.,18.89M,8.90%,3994,657.36K
249,JCTCF,Jewett-Cameron Trading Company Ltd.,18.80M,1.19%,69,51.52M
250,HLP,Hongli Group Inc.,17.32M,-11.95%,45849,18.71M
251,AUST,Austin Gold Corp.,15.40M,1.72%,13860,-
252,GURE,"Gulf Resources, Inc.",14.40M,-,10913,41.76M
253,RETO,"ReTo Eco-Solutions, Inc.",7.75M,7.84%,21381,4.82M
254,CNEY,CN Energy Group. Inc.,6.32M,-1.54%,30282,57.90M
255,AUMN,Golden Minerals Company,5.63M,-1.48%,76029,16.29M
256,SNES,"SenesTech, Inc.",4.43M,0.94%,34485,1.19M
257,SVFD,"Save Foods, Inc.",4.41M,2.30%,7331,381.68K
258,YTEN,"Yield10 Bioscience, Inc.",3.12M,1.66%,129711,147.00K
259,ITP,"IT Tech Packaging, Inc.",2.82M,5.36%,19540,86.96M
260,RKDA,"Arcadia Biosciences, Inc.",2.74M,-0.80%,4414,5.50M
261,CRKN,Crown ElectroKinetics Corp.,2.49M,-5.12%,1374768,59.00K
