,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,PLD,"Prologis, Inc.",125.85B,-0.70%,515972,8.02B
1,AMT,American Tower Corporation,96.68B,-0.27%,475365,11.14B
2,EQIX,"Equinix, Inc.",86.11B,-1.82%,110024,8.19B
3,SPG,"Simon Property Group, Inc.",56.58B,-0.77%,275980,5.66B
4,WELL,Welltower Inc.,52.34B,0.76%,351523,6.64B
5,PSA,Public Storage,51.64B,0.08%,154481,4.52B
6,CCI,Crown Castle Inc.,49.03B,-0.58%,475911,6.98B
7,DLR,"Digital Realty Trust, Inc.",47.65B,-2.66%,761182,5.48B
8,O,Realty Income Corporation,45.56B,0.34%,1398458,4.08B
9,CSGP,"CoStar Group, Inc.",35.17B,0.81%,317967,2.46B
10,EXR,Extra Space Storage Inc.,32.95B,-0.79%,300423,2.56B
11,VICI,VICI Properties Inc.,30.36B,1.82%,1298115,3.61B
12,CBRE,"CBRE Group, Inc.",28.57B,-0.97%,241209,31.95B
13,AVB,"AvalonBay Communities, Inc.",26.55B,-1.21%,96111,2.77B
14,WY,Weyerhaeuser Company,25.42B,0.66%,536949,7.67B
15,SBAC,SBA Communications Corporation,24.18B,0.02%,259966,2.71B
16,EQR,Equity Residential,24.07B,-0.87%,314901,2.87B
17,IRM,Iron Mountain Incorporated,23.78B,-0.84%,359161,5.48B
18,ARE,"Alexandria Real Estate Equities, Inc.",22.25B,-0.24%,177468,2.89B
19,INVH,Invitation Homes Inc.,21.48B,-0.03%,413561,2.43B
20,KSPI,Joint Stock Company Kaspi.kz,20.40B,-1.09%,86881,4.25B
21,VTR,"Ventas, Inc.",17.88B,0.25%,1768126,4.50B
22,SUI,"Sun Communities, Inc.",17.33B,-0.40%,290347,3.22B
23,BEKE,KE Holdings Inc.,16.46B,3.73%,4172482,10.22B
24,ESS,"Essex Property Trust, Inc.",16.31B,-1.01%,33298,1.67B
25,MAA,"Mid-America Apartment Communities, Inc.",16.24B,0.04%,157426,2.15B
26,AMH,American Homes 4 Rent,15.34B,-0.54%,304625,1.62B
27,HST,"Host Hotels & Resorts, Inc.",14.90B,-,764174,5.31B
28,UDR,"UDR, Inc.",13.55B,-0.68%,2759181,1.63B
29,KIM,Kimco Realty Corporation,13.11B,-0.41%,581916,1.78B
30,ELS,"Equity LifeStyle Properties, Inc.",13.02B,0.06%,84585,1.49B
31,WPC,W. P. Carey Inc.,12.75B,0.99%,249708,1.74B
32,GLPI,"Gaming and Leisure Properties, Inc.",12.58B,0.32%,254670,1.44B
33,LAMR,Lamar Advertising Company,12.06B,-1.18%,66512,2.11B
34,REXR,"Rexford Industrial Realty, Inc.",11.71B,-0.36%,467909,797.83M
35,REG,Regency Centers Corporation,11.49B,-0.57%,368608,1.32B
36,CPT,Camden Property Trust,10.82B,-1.18%,249326,1.56B
37,CUBE,CubeSmart,10.30B,0.15%,344674,1.05B
38,BXP,"Boston Properties, Inc.",10.09B,-0.17%,129763,3.27B
