,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,MSFT,Microsoft Corporation,"3,018.39B",-0.42%,6031954,227.58B
1,AAPL,Apple Inc,"2,636.40B",1.18%,26615123,385.71B
2,NVDA,NVIDIA Corporation,"2,188.20B",-2.00%,36907046,60.92B
3,TSM,Taiwan Semiconductor Manufacturing Company Limited,728.77B,-5.02%,14698972,70.35B
4,AVGO,Broadcom Inc.,606.27B,-1.19%,1405542,38.87B
5,ASML,ASML Holding N.V.,394.63B,-3.18%,565807,30.62B
6,AMD,"Advanced Micro Devices, Inc.",335.10B,-4.34%,37103885,22.68B
7,ORCL,Oracle Corporation,309.03B,1.52%,3662437,52.51B
8,CRM,"Salesforce, Inc.",296.12B,0.24%,1419526,34.86B
9,ADBE,Adobe Inc.,249.67B,1.58%,1050102,19.41B
10,ACN,Accenture plc,237.11B,-1.31%,867321,64.59B
11,SAP,SAP SE,222.17B,-1.64%,552383,34.11B
12,CSCO,"Cisco Systems, Inc.",200.43B,1.45%,4887954,57.23B
13,QCOM,QUALCOMM Incorporated,190.36B,0.32%,2273988,36.29B
14,INTC,Intel Corporation,189.67B,1.95%,14587891,54.23B
15,INTU,Intuit Inc.,182.47B,-0.13%,347988,15.09B
16,IBM,International Business Machines Corporation,179.64B,-2.15%,1645083,61.86B
17,AMAT,"Applied Materials, Inc.",170.80B,-2.04%,2729078,26.49B
18,UBER,"Uber Technologies, Inc.",163.42B,-1.56%,5746492,37.28B
19,TXN,Texas Instruments Incorporated,156.67B,1.10%,921539,17.52B
20,NOW,"ServiceNow, Inc.",153.48B,-0.12%,364544,8.97B
21,LRCX,Lam Research Corporation,125.42B,-3.23%,398765,14.32B
22,MU,"Micron Technology, Inc.",107.76B,-3.19%,6241481,16.18B
23,SONY,Sony Group Corporation,106.96B,-0.52%,150334,88.88B
24,ADI,"Analog Devices, Inc.",97.17B,1.16%,714874,11.57B
25,SHOP,Shopify Inc.,96.87B,-1.56%,2562796,7.06B
26,KLAC,KLA Corporation,94.56B,-1.98%,307735,9.67B
27,PANW,"Palo Alto Networks, Inc.",90.53B,1.12%,2168543,7.53B
28,FI,"Fiserv, Inc.",89.29B,-0.99%,585623,19.09B
29,SNPS,"Synopsys, Inc.",87.15B,-1.05%,255303,6.13B
30,ANET,"Arista Networks, Inc.",84.22B,-0.77%,920220,5.86B
31,CDNS,"Cadence Design Systems, Inc.",84.01B,-0.93%,416965,4.09B
32,DELL,Dell Technologies Inc.,81.76B,-0.34%,2852933,91.15B
33,INFY,Infosys Limited,80.84B,-0.21%,2516724,18.21B
34,CRWD,"CrowdStrike Holdings, Inc.",78.09B,-1.70%,1452875,3.06B
35,ARM,Arm Holdings plc,77.65B,-3.61%,5872074,2.96B
36,WDAY,"Workday, Inc.",69.52B,0.91%,796799,7.26B
37,APH,Amphenol Corporation,66.23B,-0.48%,391010,12.55B
38,MRVL,"Marvell Technology, Inc.",65.20B,-4.06%,10734673,5.51B
39,NXPI,NXP Semiconductors N.V.,64.64B,0.50%,497883,13.28B
40,SMCI,"Super Micro Computer, Inc.",63.76B,-5.24%,4307755,9.25B
41,COIN,"Coinbase Global, Inc.",61.58B,-0.95%,10286259,3.11B
42,PLTR,Palantir Technologies Inc.,57.23B,-2.65%,34350235,2.23B
43,TEAM,Atlassian Corporation,55.95B,3.27%,575112,3.89B
44,MSI,"Motorola Solutions, Inc.",55.72B,0.78%,172846,9.98B
45,FTNT,"Fortinet, Inc.",54.44B,0.15%,888666,5.30B
46,ADSK,"Autodesk, Inc.",53.88B,2.54%,324312,5.50B
47,SNOW,Snowflake Inc.,52.79B,-0.07%,2754211,2.81B
48,SQ,"Block, Inc.",50.51B,0.98%,5314778,21.92B
49,MCHP,Microchip Technology Incorporated,48.07B,1.95%,1484415,8.54B
50,STM,ST Microelectronics,44.15B,1.17%,1848625,17.29B
51,TEL,TE Connectivity Ltd.,43.40B,0.36%,469926,16.02B
52,DDOG,"Datadog, Inc.",40.26B,0.12%,1517886,2.13B
53,FIS,"Fidelity National Information Services, Inc.",40.15B,0.14%,730706,9.82B
54,TTD,"The Trade Desk, Inc.",39.85B,-0.17%,745726,1.95B
55,CTSH,Cognizant Technology Solutions Corporation,38.22B,0.25%,619435,19.35B
56,IT,"Gartner, Inc.",36.14B,0.31%,54825,5.91B
57,MPWR,"Monolithic Power Systems, Inc.",35.63B,-1.78%,136657,1.82B
58,ON,ON Semiconductor Corporation,34.61B,3.36%,2011185,8.25B
59,CDW,CDW Corporation,33.28B,-,128427,21.38B
60,NET,"Cloudflare, Inc.",33.09B,-0.95%,1192321,1.30B
61,WIT,Wipro Limited,32.48B,-0.65%,589755,11.04B
62,FICO,Fair Isaac Corporation,32.32B,-1.37%,39439,1.55B
63,HUBS,"HubSpot, Inc.",31.14B,1.33%,150344,2.17B
64,ZS,"Zscaler, Inc.",29.78B,1.03%,798844,1.90B
65,HPQ,HP Inc.,29.76B,-0.73%,2089692,53.11B
66,FTV,Fortive Corporation,29.74B,-0.21%,157205,6.07B
67,ANSS,"ANSYS, Inc.",29.03B,-0.46%,78173,2.27B
68,GFS,GLOBALFOUNDRIES Inc.,28.99B,2.00%,363418,7.39B
69,GLW,Corning Incorporated,27.92B,0.58%,561189,12.59B
70,MDB,"MongoDB, Inc.",27.87B,-4.29%,1079041,1.68B
71,GIB,CGI Inc.,27.33B,0.13%,25327,-
72,GRMN,Garmin Ltd.,27.22B,2.85%,337187,5.23B
73,KEYS,"Keysight Technologies, Inc.",26.65B,-1.42%,282889,5.34B
74,SPLK,Splunk Inc.,26.37B,0.03%,772585,4.22B
75,TEF,"Telefónica, S.A.",24.36B,0.71%,212950,45.17B
76,MSTR,MicroStrategy Incorporated,24.19B,4.11%,1863858,496.26M
77,BR,"Broadridge Financial Solutions, Inc.",23.77B,-0.58%,55113,6.32B
78,ASX,"ASE Technology Holding Co., Ltd.",23.72B,-2.05%,3230138,18.94B
79,HPE,Hewlett Packard Enterprise Company,23.51B,0.28%,6019757,28.08B
80,PTC,PTC Inc.,22.17B,0.50%,103330,2.18B
81,NTAP,"NetApp, Inc.",21.31B,-0.47%,558986,6.18B
82,IOT,Samsara Inc.,21.15B,-2.07%,4056931,847.69M
83,FLT,"FLEETCOR Technologies, Inc.",21.13B,-0.17%,73351,3.76B
84,ENTG,"Entegris, Inc.",21.06B,-0.46%,300740,3.52B
85,ZM,"Zoom Video Communications, Inc.",20.66B,3.75%,2076595,4.53B
86,UMC,United Microelectronics Corporation,20.62B,-0.37%,2343530,8.15B
87,WDC,Western Digital Corporation,20.53B,-1.51%,1659064,11.26B
88,TDY,Teledyne Technologies Incorporated,20.18B,-0.25%,41365,5.64B
89,NOK,Nokia Oyj,20.14B,0.28%,10428207,24.73B
90,APP,AppLovin Corporation,19.90B,-5.35%,1505552,3.28B
91,JBL,Jabil Inc.,19.29B,-2.23%,342554,33.45B
92,VRSN,"VeriSign, Inc.",19.27B,0.95%,132714,1.49B
93,STX,Seagate Technology Holdings plc,18.93B,-1.02%,873151,6.47B
94,CHKP,Check Point Software Technologies Ltd.,18.72B,2.17%,400917,2.41B
95,ERIC,Telefonaktiebolaget LM Ericsson (publ),18.59B,0.18%,5494083,26.11B
96,OKTA,"Okta, Inc.",18.04B,-1.80%,602509,2.26B
97,EPAM,"EPAM Systems, Inc.",17.89B,-1.40%,110437,4.69B
98,TYL,"Tyler Technologies, Inc.",17.81B,1.98%,124582,1.95B
99,ENPH,"Enphase Energy, Inc.",17.69B,-1.22%,1020145,2.29B
100,FSLR,"First Solar, Inc.",17.58B,0.50%,790332,3.32B
101,LDOS,"Leidos Holdings, Inc.",17.48B,-1.17%,172864,15.44B
102,SWKS,"Skyworks Solutions, Inc.",17.04B,1.25%,568848,4.64B
103,PSTG,"Pure Storage, Inc.",17.02B,-2.33%,1821159,2.83B
104,AKAM,"Akamai Technologies, Inc.",16.82B,-0.87%,683479,3.81B
105,GDDY,GoDaddy Inc.,16.32B,0.98%,280593,4.25B
106,TER,"Teradyne, Inc.",16.24B,0.22%,324184,2.68B
107,MANH,"Manhattan Associates, Inc.",15.85B,-0.78%,73517,928.73M
108,NTNX,"Nutanix, Inc.",15.56B,-3.78%,840450,2.02B
109,TRMB,Trimble Inc.,15.50B,-0.40%,195768,3.80B
110,SSNC,"SS&C Technologies Holdings, Inc.",15.32B,1.15%,177861,5.50B
111,NICE,NICE Ltd.,15.11B,-0.11%,148601,2.38B
112,HOOD,"Robinhood Markets, Inc.",14.87B,-0.94%,7348120,1.87B
113,BSY,"Bentley Systems, Incorporated",14.55B,-1.34%,139770,1.23B
114,ZBRA,Zebra Technologies Corporation,14.52B,-0.84%,66508,4.58B
115,GEN,Gen Digital Inc.,14.06B,-0.86%,815531,3.79B
116,LOGI,Logitech International S.A.,14.04B,0.99%,224721,4.25B
117,DT,"Dynatrace, Inc.",13.85B,-1.24%,756722,1.36B
118,PATH,UiPath Inc.,13.64B,1.86%,5168429,1.21B
