,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,NEE,"NextEra Energy, Inc.",117.12B,0.10%,3083217,28.11B
1,SO,The Southern Company,76.13B,1.12%,727079,25.25B
2,DUK,Duke Energy Corporation,73.18B,0.95%,465044,29.06B
3,CEG,Constellation Energy Corporation,54.01B,-1.56%,954919,24.92B
4,NGG,National Grid plc,51.05B,-0.31%,63891,26.10B
5,SRE,Sempra,45.23B,2.08%,1055103,16.72B
6,AEP,"American Electric Power Company, Inc.",44.12B,-0.13%,1209848,18.98B
7,PCG,PG&E Corporation,43.24B,-0.66%,6040244,24.43B
8,D,"Dominion Energy, Inc.",40.20B,-0.75%,1095411,14.39B
9,EXC,Exelon Corporation,37.17B,0.62%,1383409,21.73B
10,PEG,Public Service Enterprise Group Incorporated,32.04B,1.07%,831518,11.24B
11,ED,"Consolidated Edison, Inc.",31.14B,0.75%,223825,14.66B
12,XEL,Xcel Energy Inc.,28.32B,3.70%,3369558,14.21B
13,EIX,Edison International,26.64B,0.17%,362812,16.34B
14,WEC,"WEC Energy Group, Inc.",25.78B,0.51%,377774,8.89B
15,DTE,DTE Energy Company,23.35B,0.12%,374265,12.75B
16,AWK,"American Water Works Company, Inc.",23.07B,1.60%,476036,4.23B
17,ETR,Entergy Corporation,22.00B,0.01%,152856,12.15B
18,FE,FirstEnergy Corp.,21.88B,1.16%,782440,12.87B
19,ES,Eversource Energy,21.17B,0.95%,688555,11.91B
20,VST,Vistra Corp.,20.27B,-4.03%,3461624,14.78B
21,PPL,PPL Corporation,20.05B,0.26%,1140630,8.31B
22,EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,19.93B,-0.58%,186853,6.75B
23,ELPC,Cia Paranaense De Energia Copel,19.87B,-0.95%,8856,4.15B
24,FTS,Fortis Inc.,19.68B,-,115111,8.66B
25,AEE,Ameren Corporation,19.44B,0.74%,320713,7.50B
26,CNP,"CenterPoint Energy, Inc.",17.89B,0.67%,1077026,8.70B
27,CMS,CMS Energy Corporation,17.74B,0.35%,354359,7.46B
28,ATO,Atmos Energy Corporation,17.47B,1.02%,178222,3.95B
29,BEP,Brookfield Renewable Partners L.P.,16.10B,-0.50%,109086,5.04B
30,BIP,Brookfield Infrastructure Partners L.P.,14.18B,-0.92%,105578,17.93B
31,AGR,"Avangrid, Inc.",13.73B,-0.89%,457981,8.31B
32,LNT,Alliant Energy Corporation,12.64B,0.51%,317692,4.03B
33,NRG,"NRG Energy, Inc.",12.63B,-0.46%,758382,28.82B
34,NI,NiSource Inc.,12.09B,0.26%,729808,5.51B
35,EVRG,"Evergy, Inc.",11.84B,0.14%,495449,5.51B
36,KEP,Korea Electric Power Corporation,11.82B,0.11%,38218,55.94B
37,AES,The AES Corporation,11.54B,0.86%,2754856,12.67B
38,SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,10.77B,-2.37%,543236,4.17B
39,WTRG,"Essential Utilities, Inc.",9.74B,1.55%,290239,2.05B
40,PNW,Pinnacle West Capital Corporation,8.13B,0.84%,244650,4.70B
41,OGE,OGE Energy Corp.,6.78B,0.80%,392355,2.67B
42,NFE,New Fortress Energy Inc.,6.71B,-0.27%,379912,2.41B
43,ELP,Cia Paranaense De Energia Copel,6.00B,-1.10%,51600,4.15B
44,CIG,Cia Energetica DE Minas Gerais - Cemig,5.64B,-1.27%,571930,6.51B
45,SWX,"Southwest Gas Holdings, Inc.",5.30B,0.03%,556976,5.43B
46,UGI,UGI Corporation,5.25B,2.00%,445116,8.29B
47,BIPC,Brookfield Infrastructure Corporation,4.60B,-1.67%,56266,2.08B
48,BEPC,Brookfield Renewable Corporation,4.58B,-0.08%,115356,4.55B
49,IDA,"IDACORP, Inc.",4.52B,2.04%,58890,1.77B
